,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_12001100.xes,Alpha Plus miner)",89,12,0.9293636260137187,116,166,0.9887640449438202,6.586206896551724,110,1.0,3.2247191011235956,0.07867324561403509,0,44
"(pdc2025_00101110.xes,Alpha Plus miner)",21,4,0.8112781244591328,1,16,0.9047619047619048,7.75,13,1.0,1.3333333333333333,0.25925925925925924,0,0
"(pdc2025_12010010.xes,Alpha Plus miner)",76,7,0.9593160320543777,46,57,0.9605263157894737,4.490909090909091,13,1.0,1.8026315789473684,0.048650568181818184,0,34
"(pdc2025_00011110.xes,Alpha Plus miner)",17,2,0.0,0,13,0.9411764705882353,12.0,13,1.0,1.411764705882353,0.4,0,0
"(pdc2025_00000011.xes,Alpha Plus miner)",35,7,0.9819407868640977,11,21,0.9714285714285714,3.8421052631578947,9,0.9795918367346939,1.4,0.08166666666666667,0,10
"(pdc2025_10010111.xes,Alpha Plus miner)",18,2,1.0,1,12,0.8888888888888888,5.0,9,1.0,1.2222222222222223,0.24444444444444444,0,0
"(pdc2025_12001011.xes,Alpha Plus miner)",109,27,0.8531935252328875,109,114,0.981651376146789,5.371134020618556,15,1.0,2.4403669724770642,0.05060882800608828,0,69
"(pdc2025_00011111.xes,Alpha Plus miner)",17,2,0.0,0,13,0.9411764705882353,12.0,13,1.0,1.411764705882353,0.4,0,0
"(pdc2025_10100100.xes,Alpha Plus miner)",41,2,0.8112781244591328,8,11,0.926829268292683,3.375,5,0.9,1.2195121951219512,0.06038647342995169,0,9
"(pdc2025_12101110.xes,Alpha Plus miner)",66,17,0.9252253278054431,42,47,0.9545454545454546,4.659574468085107,13,1.0,1.8484848484848484,0.05606617647058824,0,23
"(pdc2025_00000111.xes,Alpha Plus miner)",26,6,0.9967916319816366,13,32,0.9230769230769231,6.466666666666667,13,1.0,2.1153846153846154,0.1909722222222222,0,2
"(pdc2025_01011110.xes,Alpha Plus miner)",42,3,0.9986359641585718,11,26,0.9047619047619048,4.043478260869565,11,0.9833333333333333,1.4285714285714286,0.07211538461538461,0,8
"(pdc2025_11101011.xes,Alpha Plus miner)",75,3,0.9593160320543777,43,68,0.9733333333333334,4.618181818181818,12,1.0,1.8933333333333333,0.05159883720930233,0,36
"(pdc2025_01101000.xes,Alpha Plus miner)",104,14,0.907525068754045,82,109,1.0,4.708333333333333,16,1.0,2.25,0.05078125,0,60
"(pdc2025_00000010.xes,Alpha Plus miner)",35,7,0.9819407868640977,11,21,0.9714285714285714,3.8421052631578947,9,0.9795918367346939,1.4,0.08166666666666667,0,10
"(pdc2025_00111010.xes,Alpha Plus miner)",22,3,0.9940302114769565,9,28,0.8636363636363636,6.909090909090909,12,1.0,2.1363636363636362,0.24479166666666666,0,1
"(pdc2025_12001111.xes,Alpha Plus miner)",55,35,0.9952525494396791,34,40,0.9636363636363636,4.594594594594595,9,1.0,1.6545454545454545,0.06182065217391304,0,16
"(pdc2025_01011000.xes,Alpha Plus miner)",73,4,1.0,36,52,1.0,4.076923076923077,10,0.9763779527559056,1.7397260273972603,0.0503968253968254,0,30
"(pdc2025_00111000.xes,Alpha Plus miner)",36,3,0.8112781244591328,6,12,1.0,3.125,4,0.8444444444444444,1.25,0.0703125,0,7
"(pdc2025_10100110.xes,Alpha Plus miner)",21,1,0.9709505944546686,2,16,0.8571428571428572,7.4,11,1.0,1.380952380952381,0.26851851851851855,0,0
"(pdc2025_12111111.xes,Alpha Plus miner)",41,2,0.9986359641585718,15,36,0.926829268292683,4.826086956521739,11,1.0,1.5365853658536586,0.09051724137931035,0,6
