,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_01100000.xes,Heuristics miner)",140,2,0.39124356362925566,1,28,0.9714285714285714,3.1538461538461537,4,0.49350649350649356,1.1,0.015830592105263157,43,0
"(pdc2025_10100000.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_10111011.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_02000111.xes,Heuristics miner)",146,4,0.20062232431271465,0,36,0.9726027397260274,3.25,5,0.6121212121212121,1.13013698630137,0.015720274390243903,49,0
"(pdc2025_11011111.xes,Heuristics miner)",117,3,0.24229218908241482,0,27,0.8803418803418803,3.2,4,0.5877862595419847,1.1196581196581197,0.01937869822485207,38,0
"(pdc2025_00110011.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_11001011.xes,Heuristics miner)",142,2,0.39124356362925566,1,30,0.971830985915493,3.3076923076923075,4,0.5063291139240507,1.1126760563380282,0.015825320512820512,45,0
"(pdc2025_10110110.xes,Heuristics miner)",67,4,0.6962122601251458,2,17,0.9402985074626866,3.375,6,0.5844155844155844,1.1492537313432836,0.034684684684684684,21,0
"(pdc2025_01001111.xes,Heuristics miner)",134,5,0.21639693245126462,0,35,0.9701492537313433,3.3793103448275863,5,0.6209150326797386,1.1417910447761195,0.01735480943738657,46,0
"(pdc2025_10101000.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_00110010.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_11000011.xes,Heuristics miner)",138,2,0.4394969869215134,1,24,0.9710144927536232,3.1818181818181817,4,0.42666666666666664,1.0869565217391304,0.01583614864864865,41,0
"(pdc2025_12110011.xes,Heuristics miner)",147,5,0.32984607020714635,2,38,0.9727891156462585,3.3333333333333335,6,0.6190476190476191,1.1428571428571428,0.01581325301204819,50,0
"(pdc2025_00001010.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_02101010.xes,Heuristics miner)",181,2,0.2580186686648155,1,63,0.9779005524861879,3.739130434782609,5,0.7545454545454545,1.2154696132596685,0.01401630988786952,72,0
"(pdc2025_11000110.xes,Heuristics miner)",126,4,0.26676498780302604,0,23,0.8888888888888888,3.090909090909091,4,0.4744525547445255,1.0873015873015872,0.01736815415821501,38,0
"(pdc2025_00001000.xes,Heuristics miner)",82,0,0.7219280948873623,1,9,0.926829268292683,3.0,3,0.34883720930232553,1.048780487804878,0.025595238095238095,21,0
"(pdc2025_00001110.xes,Heuristics miner)",80,12,0.8524051786494786,5,20,0.95,3.6666666666666665,7,0.5319148936170213,1.175,0.029671717171717172,25,0
"(pdc2025_00111011.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_11001111.xes,Heuristics miner)",130,5,0.228538143953528,0,30,0.8923076923076922,3.185185185185185,4,0.5724137931034483,1.1153846153846154,0.017361111111111112,42,0
"(pdc2025_11011011.xes,Heuristics miner)",126,2,0.49123734182433315,2,31,0.9682539682539683,3.2857142857142856,5,0.5804195804195804,1.1349206349206349,0.018239795918367347,41,0
"(pdc2025_10110100.xes,Heuristics miner)",69,9,0.7424875695421236,3,20,0.9420289855072463,3.473684210526316,6,0.6585365853658536,1.1884057971014492,0.03504273504273504,23,0
"(pdc2025_12111010.xes,Heuristics miner)",156,4,0.3095434291503252,1,50,0.9743589743589743,3.7222222222222223,5,0.6881720430107527,1.1923076923076923,0.01579483695652174,59,0
"(pdc2025_02101100.xes,Heuristics miner)",162,5,0.1654270339962668,0,57,0.9753086419753086,3.7560975609756095,7,0.766497461928934,1.2160493827160495,0.0157047193877551,65,0
"(pdc2025_11101111.xes,Heuristics miner)",132,5,0.228538143953528,0,32,0.9696969696969697,3.3333333333333335,5,0.5838926174496644,1.128787878787879,0.017357875116495808,44,0
