,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02111100.xes,Alpha miner)",70,7,0.9922666387194963,34,59,1.0,3.8620689655172415,8,1.0,1.7428571428571429,0.051303616484440706,0,33
"(pdc2025_12000011.xes,Alpha miner)",131,21,0.8301899714180443,137,144,0.9923664122137404,5.311475409836065,23,1.0,2.519083969465649,0.04824561403508772,0,90
"(pdc2025_10110000.xes,Alpha miner)",38,0,0.5916727785823275,6,8,0.9473684210526316,3.0,3,0.8863636363636364,1.1578947368421053,0.0625,0,8
"(pdc2025_01100000.xes,Alpha miner)",86,9,0.9605187074766162,56,83,0.9767441860465116,4.575342465753424,12,0.9832402234636871,2.0813953488372094,0.05179398148148148,0,37
"(pdc2025_10100000.xes,Alpha miner)",39,4,0.9402859586706311,3,11,0.9487179487179487,3.0,3,0.7333333333333334,1.1538461538461537,0.05921052631578947,0,1
"(pdc2025_10111011.xes,Alpha miner)",26,2,0.863120568566631,7,17,0.9230769230769231,7.0,13,1.0,1.5769230769230769,0.128125,0,8
"(pdc2025_02000111.xes,Alpha miner)",64,23,0.9980008838722996,29,33,0.9375,4.052631578947368,9,0.967741935483871,1.453125,0.04541015625,0,21
"(pdc2025_11011111.xes,Alpha miner)",63,5,0.9470622432515328,41,55,0.9841269841269842,4.384615384615385,11,0.9834710743801653,1.9206349206349207,0.0628898128898129,0,28
"(pdc2025_00110011.xes,Alpha miner)",23,2,0.8112781244591328,3,13,0.9130434782608696,4.75,11,1.0,1.3478260869565217,0.13839285714285715,0,3
"(pdc2025_11001011.xes,Alpha miner)",104,49,0.9018043446575508,75,109,1.0,4.847058823529411,21,0.9955156950672646,2.144230769230769,0.048394097222222224,0,65
"(pdc2025_10110110.xes,Alpha miner)",20,2,1.0,1,10,0.8,6.25,9,0.9166666666666666,1.2,0.16,0,1
