,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_11010111.xes,Directly Follows miner)",275,1,0,0,245,0.9890909090909091,18.25925925925926,43,0.9979757085020243,1.7963636363636364,0.03571428571428571,220,0
"(pdc2025_02110011.xes,Directly Follows miner)",435,0,0,0,401,0.9908045977011495,23.58823529411765,39,1.0,1.8436781609195403,0.029411764705882353,368,0
"(pdc2025_12010111.xes,Directly Follows miner)",322,1,0,0,289,0.9875776397515528,19.366666666666667,50,0.9982817869415808,1.8074534161490683,0.03225806451612903,261,0
"(pdc2025_10001111.xes,Directly Follows miner)",173,0,0,0,152,0.9884393063583815,15.3,28,1.0,1.76878612716763,0.05,134,0
"(pdc2025_11110111.xes,Directly Follows miner)",211,2,0,0,178,0.9715639810426541,13.961538461538462,32,0.9918032786885246,1.7345971563981042,0.03571428571428571,156,0
"(pdc2025_01110100.xes,Directly Follows miner)",136,0,0,0,99,0.9558823529411765,9.714285714285714,18,0.9444444444444444,1.588235294117647,0.03571428571428571,81,0
"(pdc2025_02101110.xes,Directly Follows miner)",424,0,0,0,389,0.9858490566037735,22.941176470588236,51,1.0,1.8396226415094339,0.029411764705882353,357,0
"(pdc2025_01000100.xes,Directly Follows miner)",354,0,0,0,321,0.980225988700565,22.20689655172414,46,0.9969040247678018,1.8248587570621468,0.03225806451612903,293,0
"(pdc2025_10101100.xes,Directly Follows miner)",88,1,0,0,64,0.9772727272727273,6.8,13,1.0,1.5454545454545454,0.05,49,0
"(pdc2025_01010110.xes,Directly Follows miner)",312,1,0,0,282,0.983974358974359,21.0,39,0.9982394366197183,1.8205128205128205,0.03571428571428571,257,0
"(pdc2025_10100111.xes,Directly Follows miner)",153,0,0,0,132,0.9738562091503268,13.947368421052632,27,0.9962406015037594,1.738562091503268,0.05,114,0
"(pdc2025_12010100.xes,Directly Follows miner)",288,2,0,0,255,0.9826388888888888,17.655172413793103,42,0.9961089494163424,1.7847222222222223,0.03225806451612903,227,0
"(pdc2025_12101011.xes,Directly Follows miner)",439,4,0,0,400,0.9908883826879271,21.105263157894736,41,1.0,1.826879271070615,0.02631578947368421,364,0
"(pdc2025_12101111.xes,Directly Follows miner)",327,4,0,0,292,0.9877675840978594,17.696969696969695,44,0.9965870307167235,1.7920489296636086,0.029411764705882353,260,0
"(pdc2025_01010011.xes,Directly Follows miner)",342,0,0,0,311,0.9970760233918129,20.8,31,1.0,1.8245614035087718,0.03333333333333333,283,0
"(pdc2025_11110100.xes,Directly Follows miner)",110,0,0,0,71,0.9545454545454546,8.11111111111111,16,0.8902439024390244,1.490909090909091,0.03571428571428571,55,0
"(pdc2025_10100011.xes,Directly Follows miner)",183,1,0,0,160,0.994535519125683,14.636363636363637,25,1.0,1.7595628415300546,0.045454545454545456,140,0
"(pdc2025_01110110.xes,Directly Follows miner)",220,1,0,0,190,0.9681818181818181,14.148148148148149,30,0.9947916666666666,1.7454545454545454,0.03571428571428571,165,0
"(pdc2025_02110000.xes,Directly Follows miner)",203,2,0,0,162,0.9802955665024631,10.5,21,0.9940828402366864,1.6650246305418719,0.029411764705882353,136,0
