,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_12100110.xes,Directly Follows miner)",308,3,0,0,274,0.9935064935064936,16.11764705882353,40,1.0,1.7792207792207793,0.029411764705882353,241,0
"(pdc2025_00100100.xes,Directly Follows miner)",105,0,0,0,82,0.9428571428571428,9.333333333333334,18,0.9882352941176471,1.619047619047619,0.05,66,0
"(pdc2025_11000010.xes,Directly Follows miner)",422,1,0,0,388,0.9928909952606635,22.823529411764707,37,1.0,1.838862559241706,0.029411764705882353,355,0
"(pdc2025_02011011.xes,Directly Follows miner)",488,0,0,0,453,0.9979508196721312,26.705882352941178,38,1.0,1.860655737704918,0.029411764705882353,421,0
"(pdc2025_10000111.xes,Directly Follows miner)",169,0,0,0,147,0.9644970414201184,16.444444444444443,28,0.9932885906040269,1.7633136094674555,0.05,130,0
"(pdc2025_11110010.xes,Directly Follows miner)",231,2,0,0,199,0.987012987012987,13.4,28,1.0,1.7402597402597402,0.03333333333333333,172,0
"(pdc2025_00111110.xes,Directly Follows miner)",117,0,0,0,99,0.9914529914529915,11.764705882352942,22,1.0,1.7094017094017093,0.058823529411764705,84,0
"(pdc2025_01011100.xes,Directly Follows miner)",292,1,0,0,263,0.9931506849315068,18.857142857142858,38,1.0,1.8082191780821917,0.03571428571428571,237,0
"(pdc2025_02000010.xes,Directly Follows miner)",613,1,0,0,574,1.0,30.263157894736842,44,1.0,1.8760195758564437,0.02631578947368421,538,0
"(pdc2025_11111110.xes,Directly Follows miner)",225,1,0,0,195,0.9822222222222222,14.071428571428571,32,1.0,1.751111111111111,0.03571428571428571,170,0
"(pdc2025_10010110.xes,Directly Follows miner)",118,0,0,0,99,0.9576271186440678,13.333333333333334,21,0.9900990099009901,1.7118644067796611,0.058823529411764705,85,0
"(pdc2025_12101100.xes,Directly Follows miner)",221,3,0,0,183,0.9909502262443439,11.870967741935484,36,0.983957219251337,1.6923076923076923,0.029411764705882353,154,0
"(pdc2025_01101100.xes,Directly Follows miner)",208,3,0,0,174,0.9855769230769231,12.068965517241379,29,0.9887005649717514,1.7019230769230769,0.03225806451612903,147,0
"(pdc2025_10000000.xes,Directly Follows miner)",164,0,0,0,140,0.975609756097561,14.1,21,0.9929577464788732,1.7317073170731707,0.045454545454545456,121,0
"(pdc2025_02111100.xes,Directly Follows miner)",236,4,0,0,204,0.9915254237288136,13.225806451612904,35,1.0,1.7372881355932204,0.03225806451612903,175,0
"(pdc2025_12000011.xes,Directly Follows miner)",471,1,0,0,432,1.0,22.789473684210527,39,1.0,1.8386411889596603,0.02631578947368421,396,0
"(pdc2025_10110000.xes,Directly Follows miner)",72,1,0,0,49,0.9444444444444444,6.625,11,0.9814814814814815,1.5,0.05555555555555555,37,0
"(pdc2025_01100000.xes,Directly Follows miner)",252,1,0,0,215,0.9841269841269842,13.5625,25,0.9954128440366973,1.7301587301587302,0.029411764705882353,185,0
"(pdc2025_10100000.xes,Directly Follows miner)",109,1,0,0,84,0.963302752293578,8.6,14,0.9885057471264368,1.5963302752293578,0.045454545454545456,66,0
"(pdc2025_10111011.xes,Directly Follows miner)",125,0,0,0,106,1.0,11.88888888888889,17,1.0,1.712,0.05555555555555555,90,0
"(pdc2025_02000111.xes,Directly Follows miner)",502,0,0,0,467,0.9940239043824701,27.529411764705884,55,1.0,1.8645418326693226,0.029411764705882353,435,0
"(pdc2025_11011111.xes,Directly Follows miner)",273,0,0,0,243,0.9963369963369964,17.5,43,1.0,1.794871794871795,0.03571428571428571,218,0
"(pdc2025_00110011.xes,Directly Follows miner)",130,1,0,0,112,0.9923076923076923,12.444444444444445,18,1.0,1.7230769230769232,0.05555555555555555,95,0
"(pdc2025_11001011.xes,Directly Follows miner)",407,1,0,0,373,1.0,21.941176470588236,37,1.0,1.8329238329238329,0.029411764705882353,340,0
"(pdc2025_10110110.xes,Directly Follows miner)",111,0,0,0,93,0.990990990990991,11.058823529411764,21,1.0,1.6936936936936937,0.058823529411764705,78,0
"(pdc2025_01001111.xes,Directly Follows miner)",409,0,0,0,377,0.9926650366748166,24.387096774193548,48,1.0,1.8484107579462103,0.03225806451612903,348,0
"(pdc2025_10101000.xes,Directly Follows miner)",122,0,0,0,99,1.0,9.090909090909092,14,1.0,1.639344262295082,0.045454545454545456,79,0
"(pdc2025_00110010.xes,Directly Follows miner)",130,1,0,0,112,0.9923076923076923,12.444444444444445,18,1.0,1.7230769230769232,0.05555555555555555,95,0
"(pdc2025_11000011.xes,Directly Follows miner)",422,1,0,0,388,0.9928909952606635,22.823529411764707,37,1.0,1.838862559241706,0.029411764705882353,355,0
"(pdc2025_12110011.xes,Directly Follows miner)",274,5,0,0,238,0.9817518248175182,14.875,31,0.9916666666666667,1.7518248175182483,0.029411764705882353,207,0
"(pdc2025_00001010.xes,Directly Follows miner)",198,0,0,0,175,1.0,16.0,21,1.0,1.7777777777777777,0.045454545454545456,155,0
"(pdc2025_02101010.xes,Directly Follows miner)",559,0,0,0,520,0.9964221824686941,27.42105263157895,46,1.0,1.8640429338103757,0.02631578947368421,484,0
"(pdc2025_11000110.xes,Directly Follows miner)",358,0,0,0,325,0.9832402234636871,22.482758620689655,52,0.9969418960244648,1.8268156424581006,0.03225806451612903,297,0
"(pdc2025_00001000.xes,Directly Follows miner)",176,0,0,0,153,1.0,14.0,21,1.0,1.75,0.045454545454545456,133,0
"(pdc2025_00001110.xes,Directly Follows miner)",178,0,0,0,157,0.9887640449438202,15.8,31,1.0,1.7752808988764044,0.05,139,0
"(pdc2025_00111011.xes,Directly Follows miner)",124,0,0,0,105,1.0,11.777777777777779,17,1.0,1.7096774193548387,0.05555555555555555,89,0
"(pdc2025_11001111.xes,Directly Follows miner)",444,1,0,0,413,0.990990990990991,26.64516129032258,53,1.0,1.8603603603603605,0.03225806451612903,383,0
"(pdc2025_11011011.xes,Directly Follows miner)",304,1,0,0,272,1.0,18.266666666666666,31,1.0,1.8026315789473684,0.03333333333333333,245,0
"(pdc2025_10110100.xes,Directly Follows miner)",71,0,0,0,49,0.9436619718309859,7.066666666666666,14,0.9814814814814815,1.5211267605633803,0.058823529411764705,38,0
